torchvision-resnet50,64,28.2685
torchvision-resnet50_fp16,64,12.146
torchvision-alexnet,64,6.68765
torchvision-alexnet_fp16,64,2.15629
torchvision-densenet121,32,17.5718
torchvision-densenet121_fp16,32,9.74744
torchvision-inceptionv3,32,24.1065
torchvision-inceptionv3_fp16,32,13.9756
torchvision-vgg16,16,17.9063
torchvision-vgg16_fp16,16,7.5379
cadene-inceptionv4,16,24.1559
cadene-resnext64x4,16,26.7165
slim-mobilenet,64,8.93431
slim-nasnetalarge,64,282.945
slim-resnet50v2,64,27.2455
bert-mrpc-onnx,8,9.90864
bert-mrpc-tf,1,3.33574
pytorch-examples-wlang-gru,1,3.24052
pytorch-examples-wlang-lstm,1,3.0396
torchvision-resnet50_1,1,1.95548
torchvision-inceptionv3_1,1,3.31179
torchvision-vgg16_1,1,2.16397
cadene-dpn92_1,1,3.03033
cadene-resnext101_1,1,4.27523
slim-vgg16_1,1,5.96241
slim-mobilenet_1,1,0.675982
slim-inceptionv4_1,1,5.27918
onnx-taau-downsample,1,3.2944
