torchvision-resnet50,64,22.4776
torchvision-resnet50_fp16,64,9.88148
torchvision-densenet121,32,15.1962
torchvision-densenet121_fp16,32,8.68206
torchvision-inceptionv3,32,20.0714
torchvision-inceptionv3_fp16,32,12.3519
cadene-inceptionv4,16,22.6337
cadene-resnext64x4,16,22.9321
slim-mobilenet,64,7.66144
slim-nasnetalarge,64,282.216
slim-resnet50v2,64,23.904
bert-mrpc-onnx,8,9.70821
bert-mrpc-tf,1,2.57177
pytorch-examples-wlang-gru,1,3.36005
pytorch-examples-wlang-lstm,1,3.22488
torchvision-resnet50_1,1,1.66274
torchvision-inceptionv3_1,1,3.00152
cadene-dpn92_1,1,2.52517
cadene-resnext101_1,1,3.03348
slim-vgg16_1,1,2.15995
slim-mobilenet_1,1,0.491871
slim-inceptionv4_1,1,4.60366
onnx-taau-downsample,1,3.26205
dlrm-criteoterabyte,1,46.0462
dlrm-criteoterabyte_fp16,1,24.572
agentmodel,1,0.173988
unet_fp16,2,35.7628
resnet50v1_fp16,1,1.07503
bert_base_cased_fp16,64,65.9707
bert_large_uncased_fp16,32,104.965
bert_large_fp16,1,5.98438
distilgpt2_fp16,16,12.5228
