torchvision-resnet50,64,28.0202
torchvision-resnet50_fp16,64,11.9395
torchvision-densenet121,32,17.3814
torchvision-densenet121_fp16,32,9.43685
torchvision-inceptionv3,32,23.7894
torchvision-inceptionv3_fp16,32,12.3313
cadene-inceptionv4,16,23.5166
cadene-resnext64x4,16,27.0716
slim-mobilenet,64,8.87143
slim-nasnetalarge,64,270.214
slim-resnet50v2,64,25.3317
bert-mrpc-onnx,8,11.0885
bert-mrpc-tf,1,2.56355
pytorch-examples-wlang-gru,1,3.34351
pytorch-examples-wlang-lstm,1,3.22097
torchvision-resnet50_1,1,1.80477
torchvision-inceptionv3_1,1,3.2685
cadene-dpn92_1,1,2.88813
cadene-resnext101_1,1,4.53857
slim-vgg16_1,1,4.4551
slim-mobilenet_1,1,0.677167
slim-inceptionv4_1,1,4.57197
onnx-taau-downsample,1,4.03675
dlrm-criteoterabyte,1,46.1319
dlrm-criteoterabyte_fp16,1,24.5978
agentmodel,1,0.171277
unet_fp16,2,36.3502
