torchvision-resnet50,64,29.0852
torchvision-resnet50_fp16,64,13.5177
torchvision-alexnet,64,12.8926
torchvision-alexnet_fp16,64,2.4537
torchvision-densenet121,32,19.6507
torchvision-densenet121_fp16,32,12.675
torchvision-inceptionv3,32,29.5515
torchvision-inceptionv3_fp16,32,16.149
torchvision-vgg16,16,17.8972
torchvision-vgg16_fp16,16,9.28169
cadene-inceptionv4,16,30.3717
cadene-resnext64x4,16,27.8688
slim-mobilenet,64,10.0206
slim-nasnetalarge,64,315.824
slim-resnet50v2,64,26.3052
bert-mrpc-onnx,8,12.4326
bert-mrpc-tf,1,3.31865
pytorch-examples-wlang-gru,1,4.36279
pytorch-examples-wlang-lstm,1,3.29367
torchvision-resnet50_1,1,1.95865
torchvision-inceptionv3_1,1,3.31186
torchvision-vgg16_1,1,2.16471
cadene-dpn92_1,1,3.30315
cadene-resnext101_1,1,4.29588
slim-vgg16_1,1,
slim-mobilenet_1,1,0.525816
slim-inceptionv4_1,1,5.10547
onnx-taau-downsample,1,3.89427
