torchvision-resnet50,64,22.6198
torchvision-resnet50_fp16,64,9.85013
torchvision-densenet121,32,15.2729
torchvision-densenet121_fp16,32,8.71995
torchvision-inceptionv3,32,20.1703
torchvision-inceptionv3_fp16,32,12.4289
cadene-inceptionv4,16,22.7199
cadene-resnext64x4,16,23.1054
slim-mobilenet,64,7.68274
slim-nasnetalarge,64,283.911
slim-resnet50v2,64,24.0147
bert-mrpc-onnx,8,9.72222
bert-mrpc-tf,1,2.57086
pytorch-examples-wlang-gru,1,3.30941
pytorch-examples-wlang-lstm,1,3.19575
torchvision-resnet50_1,1,1.66597
torchvision-inceptionv3_1,1,2.90705
cadene-dpn92_1,1,2.49422
cadene-resnext101_1,1,3.07965
slim-vgg16_1,1,2.17457
slim-mobilenet_1,1,0.469304
slim-inceptionv4_1,1,4.57779
onnx-taau-downsample,1,3.28151
dlrm-criteoterabyte,1,46.2634
dlrm-criteoterabyte_fp16,1,24.6566
agentmodel,1,0.175165
unet_fp16,2,36.5043
resnet50v1_fp16,1,1.06418
bert_base_cased_fp16,64,70.85
bert_large_uncased_fp16,32,112.033
bert_large_fp16,1,5.99281
distilgpt2_fp16,16,12.4818
