torchvision-resnet50,64,28.1386
torchvision-resnet50_fp16,64,11.9766
torchvision-densenet121,32,17.4867
torchvision-densenet121_fp16,32,9.46292
torchvision-inceptionv3,32,23.8036
torchvision-inceptionv3_fp16,32,12.6134
cadene-inceptionv4,16,23.5904
cadene-resnext64x4,16,27.0871
slim-mobilenet,64,8.86597
slim-nasnetalarge,64,270.511
slim-resnet50v2,64,25.3772
bert-mrpc-onnx,8,11.116
bert-mrpc-tf,1,2.75183
pytorch-examples-wlang-gru,1,3.19211
pytorch-examples-wlang-lstm,1,3.1779
torchvision-resnet50_1,1,1.77782
torchvision-inceptionv3_1,1,3.25607
cadene-dpn92_1,1,2.83022
cadene-resnext101_1,1,4.5499
slim-vgg16_1,1,4.46826
slim-mobilenet_1,1,0.675801
slim-inceptionv4_1,1,4.51078
onnx-taau-downsample,1,3.11415
dlrm-criteoterabyte,1,46.1855
dlrm-criteoterabyte_fp16,1,24.6413
agentmodel,1,0.168145
unet_fp16,2,36.3696
