torchvision-resnet50,64,28.519
torchvision-resnet50_fp16,64,13.1742
torchvision-alexnet,64,12.8789
torchvision-alexnet_fp16,64,2.51459
torchvision-densenet121,32,17.6681
torchvision-densenet121_fp16,32,9.78648
torchvision-inceptionv3,32,28.8851
torchvision-inceptionv3_fp16,32,16.1598
torchvision-vgg16,16,17.8949
torchvision-vgg16_fp16,16,9.19626
cadene-inceptionv4,16,29.9343
cadene-resnext64x4,16,27.6507
slim-mobilenet,64,9.79256
slim-nasnetalarge,64,312.055
slim-resnet50v2,64,
bert-mrpc-onnx,8,9.90068
bert-mrpc-tf,1,3.23947
pytorch-examples-wlang-gru,1,3.22164
pytorch-examples-wlang-lstm,1,2.80491
torchvision-resnet50_1,1,1.92742
torchvision-inceptionv3_1,1,3.30544
torchvision-vgg16_1,1,2.16571
cadene-dpn92_1,1,3.06667
cadene-resnext101_1,1,4.29419
slim-vgg16_1,1,15.6317
slim-mobilenet_1,1,0.666488
slim-inceptionv4_1,1,5.19023
onnx-taau-downsample,1,3.38665
