torchvision-resnet50,64,22.6179
torchvision-resnet50_fp16,64,9.86555
torchvision-densenet121,32,15.6361
torchvision-densenet121_fp16,32,9.05187
torchvision-inceptionv3,32,20.3843
torchvision-inceptionv3_fp16,32,13.1909
cadene-inceptionv4,16,23.1312
cadene-resnext64x4,16,22.9673
slim-mobilenet,64,7.68459
slim-nasnetalarge,64,284.694
slim-resnet50v2,64,24.0365
bert-mrpc-onnx,8,9.79303
bert-mrpc-tf,1,2.59883
pytorch-examples-wlang-gru,1,3.43984
pytorch-examples-wlang-lstm,1,3.25759
torchvision-resnet50_1,1,1.74403
torchvision-inceptionv3_1,1,2.98591
cadene-dpn92_1,1,2.54343
cadene-resnext101_1,1,3.03926
slim-vgg16_1,1,2.17487
slim-mobilenet_1,1,0.491095
slim-inceptionv4_1,1,4.63933
onnx-taau-downsample,1,3.3043
dlrm-criteoterabyte,1,46.5709
dlrm-criteoterabyte_fp16,1,24.7913
agentmodel,1,
unet_fp16,2,36.8425
resnet50v1_fp16,1,1.07905
bert_base_cased_fp16,64,70.9827
bert_large_uncased_fp16,32,112.167
bert_large_fp16,1,6.01392
distilgpt2_fp16,16,12.5066
